"","country","year","emissions"
"706","Iceland",1955,5.778407868
"707","India",1955,0.21040469
"708","Indonesia",1955,0.254691041
"709","Iran",1955,0.814344288
"710","Iraq",1955,0.625253919
"711","Ireland",1955,4.041866373
"712","Israel",1955,2.804827444
"713","Italy",1955,1.524213845
"714","Jamaica",1955,0.639766631
"715","Japan",1955,1.606771227
"716","Jordan",1955,0.58747105
"717","Kenya",1955,0.284720201
"718","Kuwait",1955,9.429196834
"719","Lebanon",1955,0.970437199
"720","Liberia",1955,0.05885028
"721","Libya",1955,0.380988919
"722","Luxembourg",1955,32.43497268
"723","Macao, China",1955,0.121248863
"724","Madagascar",1955,0.066919407
"725","Malta",1955,1.084809172
"726","Martinique",1955,0.462422415
"727","Mauritius",1955,0.225044337
"728","Mexico",1955,1.22221417
"729","Mongolia",1955,0.689493536
"730","Morocco",1955,0.351387637
"731","Mozambique",1955,0.19721515
"732","Myanmar",1955,0.075424421
"733","Nepal",1955,0.004920615
"734","Netherlands",1955,5.714389147
"735","New Caledonia",1955,10.33778631
"736","New Zealand",1955,4.401369162
"737","Nicaragua",1955,0.260469225
"738","Nigeria",1955,0.065027462
"739","Norway",1955,3.333916934
"740","Pakistan",1955,0.181113097
"741","Panama",1955,0.727309412
"742","Papua New Guinea",1955,0.070454444
"743","Paraguay",1955,0.113887143
"744","Peru",1955,0.707161343
"745","Philippines",1955,0.301568621
"746","Poland",1955,5.657051317
"747","Portugal",1955,0.746405586
"748","Qatar",1955,11.68675036
"749","Reunion",1955,0.138412263
"750","Romania",1955,2.105513223
"751","Russia",1955,5.757311501
"752","Samoa",1955,0.116846008
"753","Sao Tome and Principe",1955,0.062383739
"754","Saudi Arabia",1955,0.598488907
"755","Sierra Leone",1955,0.090346256
"756","Slovak Republic",1955,6.499598949
"757","Solomon Islands",1955,0.096074064
"758","Somalia",1955,0.026172301
"759","South Africa",1955,5.3953726
"760","Spain",1955,1.386014774
"761","Sri Lanka",1955,0.185403915
"762","Sudan",1955,0.113506397
"763","Suriname",1955,1.24664672
"764","Swaziland",1955,0.011934637
"765","Sweden",1955,5.388923942
"766","Switzerland",1955,2.742550928
"767","Syria",1955,0.421739668
"768","Taiwan",1955,0.759540375
"769","Tanzania",1955,0.063760886
"770","Thailand",1955,0.100726853
"771","Togo",1955,0.027350103
"772","Tonga",1955,0.132547687
"773","Trinidad and Tobago",1955,3.785189456
"774","Tunisia",1955,0.414162349
"775","Turkey",1955,0.554503304
"776","Uganda",1955,0.044754478
"777","United Kingdom",1955,11.27418144
"778","United States",1955,15.91391299
"779","Uruguay",1955,1.654034453
"780","Venezuela",1955,9.612658602
"781","Vietnam",1955,0.112589284
"782","Afghanistan",1956,0.020401088
